交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
10月31日,295,298.5,289.5,290.5,-4.5,-1.53,3.05,"9,094","10,115",0.9,26.7,"-2,980",122,-8.35,"-2,867",65.4,13,"3,685",30,85,2.31
10月30日,293,297,293,295,0,0,1.36,"5,095","5,950",0.86,15,"-1,597",-14.1,11.7,"-1,600",65.5,16,"3,672",2,55,1.5
10月27日,297,301.5,294.5,295,-3,-1.01,2.35,"7,991","11,418",0.7,23.8,"-2,249",-120,120,"-2,249",65.6,31,"3,656",-2,53,1.45
10月26日,300,303,298,298,-7.5,-2.45,1.64,"9,253","10,514",0.88,27.8,"-3,201",-283,-369,"-3,853",65.6,0,"3,625",-12,55,1.52
10月25日,308,309.5,303,305.5,-2.5,-0.81,2.11,"8,432","9,328",0.9,25.8,"-2,336",-866,56.9,"-3,145",65.8,65,"3,625",0,67,1.85
10月24日,310,310,304,308,-1.5,-0.48,1.94,"8,010","7,725",1.04,24.6,"-1,481",-283,15.7,"-1,748",65.8,-1,"3,560",5,67,1.88
10月23日,309,312,308,309.5,0.5,0.16,1.29,"4,180","4,029",1.04,13,-278,-62,55.5,-285,65.9,-140,"3,561",5,62,1.74
10月20日,312,312.5,307.5,309,-8.5,-2.68,1.57,"15,031","13,401",1.12,46.6,"-3,720",-472,-274,"-4,466",65.9,108,"3,701",-4,57,1.54
10月19日,313.5,318.5,310.5,317.5,0,0,2.52,"5,762","6,171",0.93,18.2,"-1,205",-126,-177,"-1,508",66,7,"3,593",-12,61,1.7
10月18日,320,321.5,317.5,317.5,-4,-1.24,1.24,"5,823","8,094",0.72,18.6,"-2,110",-246,213,"-2,143",66.1,11,"3,586",-10,73,2.04
10月17日,327,328.5,321.5,321.5,-3.5,-1.08,2.15,"4,214","5,141",0.82,13.7,"-1,372",-47.9,72.7,"-1,347",66.2,5,"3,575",-5,83,2.32
10月16日,325,328,324.5,325,-3.5,-1.07,1.07,"5,237","5,596",0.94,17.1,"-1,878",-115,-12.2,"-2,006",66.2,1,"3,570",6,88,2.46
10月13日,334,334,328,328.5,-7.5,-2.23,1.79,"7,698","8,352",0.92,25.4,"-2,353",-674,69.7,"-2,957",66.3,11,"3,569",-8,82,2.3
10月12日,339,339.5,335,336,-2.5,-0.74,1.33,"5,610","4,904",1.14,18.9,"-1,675",-88,43.2,"-1,719",66.4,-28,"3,558",-6,90,2.53
10月11日,337.5,341.5,336,338.5,1,0.3,1.63,"8,932","6,709",1.33,30.2,"-1,345",193,202,-949,66.4,-21,"3,586",1,96,2.68
10月6日,339,340,337.5,337.5,-0.5,-0.15,0.74,"3,328","3,393",0.98,11.3,-864,135,70.6,-659,66.5,-120,"3,607",10,95,2.63
10月5日,338,341.5,336.5,338,5,1.5,1.5,"6,274","5,140",1.22,21.2,-143,33.8,-47.7,-157,66.6,-8,"3,727",6,85,2.28
10月4日,332,335.5,327,333,-3.5,-1.04,2.53,"5,928","9,139",0.65,19.7,"-1,153",-162,-224,"-1,538",66.6,44,"3,735",-5,79,2.12
10月3日,338,342.5,334.5,336.5,1,0.3,2.38,"8,612","7,680",1.12,29.2,"-1,070",78.3,-3.91,-995,66.6,-66,"3,691",7,84,2.28
10月2日,326,338.5,326,335.5,11,3.39,3.85,"6,821","6,242",1.09,22.8,"1,551",223,92.6,"1,866",66.6,-58,"3,757",2,77,2.05
9月28日,326,330.5,323,324.5,1.5,0.46,2.32,"5,703","4,945",1.15,18.6,-335,-98.5,187,-246,66.6,107,"3,815",0,75,1.97
9月27日,323,325,321,323,-3.5,-1.07,1.23,"8,034","8,072",1,26,"-1,776",-301,-41.2,"-2,118",66.6,77,"3,708",-10,75,2.02
9月26日,330.5,333,326.5,326.5,-10,-2.97,1.93,"7,176","9,908",0.72,23.6,"-3,366",-109,-68.9,"-3,544",66.7,150,"3,631",-11,85,2.34
