交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月2日,37,37.8,36.9,37.8,1.15,3.14,2.46,"15,634","7,679",2.04,5.87,"5,409",439,33.1,"5,881",21.1,-83,"1,801",54,296,16.4
11月1日,36.9,36.9,36.35,36.65,-0.05,-0.14,1.5,"11,829","7,485",1.58,4.32,"1,295","1,325",154,"2,775",21.1,21,"1,884",-11,242,12.8
10月31日,36.45,36.85,36.45,36.7,0.15,0.41,1.09,"11,225","4,712",2.38,4.12,"2,063",704,517,"3,284",21.1,-315,"1,863",1,253,13.6
10月30日,36.85,37,36.3,36.55,-0.4,-1.08,1.89,"16,188","9,839",1.65,5.91,"-5,694","1,113",357,"-4,224",21.1,348,"2,178",-22,252,11.6
10月27日,36.5,37.05,36.5,36.95,0.55,1.51,1.51,"7,839","4,452",1.76,2.89,"1,975",344,130,"2,450",21.1,-34,"1,830",-3,274,15
10月26日,36.4,36.75,36.15,36.4,-0.45,-1.22,1.63,"17,273","10,396",1.66,6.29,"-3,334",104,-148,"-3,379",21.1,-266,"1,864",21,277,14.9
10月25日,37.15,37.15,36.8,36.85,-0.4,-1.07,0.94,"16,093","10,471",1.54,5.95,"-5,652",537,-219,"-5,334",21.2,-61,"2,130",176,256,12
10月24日,37.1,37.35,36.85,37.25,0.15,0.4,1.35,"10,373","7,057",1.47,3.85,475,467,3.25,945,21.2,20,"2,191",0,80,3.65
10月23日,37.3,37.45,37.05,37.1,-0.4,-1.07,1.07,"14,429","7,324",1.97,5.36,"-1,293",25,335,-933,21.2,-435,"2,171",0,80,3.68
10月20日,37.6,37.75,37.05,37.5,-0.85,-2.22,1.83,"22,423","11,599",1.93,8.4,"-4,366","1,266",376,"-2,725",21.2,114,"2,606",-3,80,3.07
10月19日,38.65,38.8,38.1,38.35,-0.5,-1.29,1.8,"15,939","7,761",2.05,6.11,-640,841,"1,611","1,812",21.2,-8,"2,492",1,83,3.33
10月18日,38.85,38.85,38.55,38.85,0.1,0.26,0.77,"15,042","7,176",2.1,5.82,"2,951",11,"3,132","6,094",21.2,-356,"2,500",0,82,3.28
10月17日,38.8,38.8,38.35,38.75,-0.05,-0.13,1.16,"12,711","7,405",1.72,4.91,"2,276",319,"1,401","3,996",21.2,65,"2,856",1,82,2.87
10月16日,38.25,38.8,38.2,38.8,0.3,0.78,1.56,"15,133","9,064",1.67,5.84,"4,987",543,"1,030","6,561",21.2,-69,"2,791",-51,81,2.9
10月13日,38.55,38.65,38.3,38.5,-0.45,-1.16,0.9,"13,819","8,497",1.63,5.31,-729,413,843,527,21.2,113,"2,860",-13,132,4.62
10月12日,38.5,38.95,38.35,38.95,0.45,1.17,1.56,"21,927","11,813",1.86,8.49,"10,483",406,199,"11,087",21.2,-39,"2,747",13,145,5.28
10月11日,38,38.5,37.7,38.5,1,2.67,2.13,"38,670","16,229",2.38,14.8,"17,931","1,314","1,075","20,320",21.1,-246,"2,786",2,132,4.74
10月6日,37.5,37.8,37.25,37.5,0,0,1.47,"12,898","6,811",1.89,4.83,"3,009",-335,453,"3,126",21,-1,"3,032",-30,130,4.29
10月5日,37.05,37.55,36.85,37.5,0.65,1.76,1.9,"19,665","8,091",2.43,7.33,"7,706","-1,034",107,"6,780",21,134,"3,033",8,160,5.28
10月4日,37.15,37.35,36.8,36.85,-0.8,-2.12,1.46,"24,721","14,043",1.76,9.14,"-4,305",231,-250,"-4,324",20.9,-169,"2,899",-23,152,5.24
10月3日,37.6,37.9,37.25,37.65,0.05,0.13,1.73,"15,433","6,921",2.23,5.81,"1,953","1,066",760,"3,779",20.9,109,"3,068",1,175,5.7
10月2日,37.85,37.85,37.25,37.6,-0.1,-0.27,1.59,"12,710","8,065",1.58,4.77,"2,355",542,88.9,"2,986",20.9,-433,"2,959",-14,174,5.88
9月28日,37.7,37.85,37.5,37.7,0,0,0.93,"9,703","4,161",2.33,3.66,"2,418",373,281,"3,072",20.9,-109,"3,392",0,188,5.54
9月27日,37.65,37.85,37.45,37.7,-0.15,-0.4,1.06,"12,510","7,589",1.65,4.71,"2,032",332,-503,"1,861",20.9,-35,"3,501",2,188,5.37
9月26日,37.7,38,37.6,37.85,-0.15,-0.39,1.05,"11,274","6,329",1.78,4.26,"-2,340","1,298",-364,"-1,406",20.9,-70,"3,536",2,186,5.26
