交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月8日,45.4,45.4,45,45.05,-0.15,-0.33,0.88,"5,471","2,796",1.96,2.47,-680,-23.5,47,-657,21.1,25,"13,707",6,706,5.15
11月7日,45.2,45.25,44.95,45.2,-0.15,-0.33,0.66,"15,997","4,052",3.95,7.24,-743,391,-574,-925,21.1,8,"13,682",-16,700,5.12
11月6日,45.65,45.7,45.25,45.35,0,0,0.99,"11,916","4,954",2.41,5.41,"5,024",185,-153,"5,056",21.1,-4,"13,674",-2,716,5.24
11月3日,45,45.35,44.8,45.35,0.5,1.11,1.23,"11,231","5,517",2.04,5.07,"5,799",555,164,"6,518",21,-89,"13,678",-19,718,5.25
11月2日,44.7,44.95,44.55,44.85,0.55,1.24,0.9,"14,467","6,542",2.21,6.49,"2,021",473,404,"2,898",21,-73,"13,767",-17,737,5.35
11月1日,44.2,44.5,44,44.3,0.4,0.91,1.14,"9,371","4,329",2.16,4.15,"1,951","1,351",-134,"3,168",21,-186,"13,840",-35,754,5.45
10月31日,44.25,44.25,43.85,43.9,-0.05,-0.11,0.91,"9,197","3,205",2.87,4.04,-150,977,-116,711,21,-109,"14,026",-1,789,5.63
10月30日,44.2,44.4,43.75,43.95,-0.25,-0.57,1.47,"13,512","7,234",1.87,5.93,"-4,823","1,163",219,"-3,440",21,96,"14,135",-5,790,5.59
10月27日,43.95,44.4,43.9,44.2,0.35,0.8,1.14,"5,950","3,069",1.94,2.63,225,481,107,813,21,-17,"14,039",28,795,5.66
10月26日,43.75,44.2,43.55,43.85,-0.3,-0.68,1.47,"11,484","5,887",1.95,5.04,"-2,705",275,-414,"-2,843",21,-4,"14,056",-20,767,5.46
10月25日,44.2,44.35,44.1,44.15,0,0,0.57,"6,377","3,500",1.82,2.82,"-2,432",790,59.4,"-1,583",21.1,145,"14,060",-17,787,5.6
10月24日,44.1,44.35,43.85,44.15,0.05,0.11,1.13,"9,611","5,633",1.71,4.24,"-2,584",700,-248,"-2,132",21.1,54,"13,915",0,804,5.78
10月23日,44.45,44.8,44,44.1,-0.6,-1.34,1.79,"15,112","7,549",2,6.68,"-6,811","2,001",-238,"-5,048",21.1,230,"13,861",-23,804,5.8
10月20日,44.6,44.95,43.75,44.7,-0.4,-0.89,2.66,"27,341","11,396",2.4,12.1,"-10,205","5,254",-504,"-5,455",21.2,61,"13,631",54,827,6.07
10月19日,45.2,45.35,44.85,45.1,-0.5,-1.1,1.1,"13,199","7,297",1.81,5.96,"-5,757","4,747",97,-913,21.2,91,"13,570",-10,773,5.7
10月18日,45.5,45.6,45.2,45.6,0.35,0.77,0.88,"22,670","5,578",4.06,10.3,"2,263","1,383",866,"4,511",21.2,-157,"13,479",11,783,5.81
10月17日,45.55,45.6,45.15,45.25,-0.25,-0.55,0.99,"8,375","4,422",1.89,3.79,"-1,115",131,16,-968,21.2,-31,"13,636",-61,772,5.66
10月16日,45.05,45.5,45,45.5,0.2,0.44,1.1,"7,463","3,691",2.02,3.38,"1,263",565,46,"1,874",21.2,-182,"13,667",8,833,6.09
10月13日,45.85,45.85,45.3,45.3,-0.85,-1.84,1.19,"16,128","10,163",1.59,7.33,"-3,919",390,-363,"-3,892",21.2,185,"13,849",-37,825,5.96
10月12日,45.95,46.15,45.5,46.15,0.2,0.44,1.41,"18,037","7,694",2.34,8.29,"4,853",345,-89.6,"5,108",21.2,-288,"13,664",-14,862,6.31
10月11日,45.05,45.95,44.95,45.95,1.4,3.14,2.24,"33,272","14,716",2.26,15.2,"18,623",243,"1,361","20,227",21.2,-758,"13,952",-285,876,6.28
10月6日,44.25,44.6,44.15,44.55,0.5,1.14,1.02,"8,513","4,330",1.97,3.78,744,648,523,"1,915",21.1,-611,"14,710",39,"1,161",7.89
10月5日,43.55,44.15,43.4,44.05,0.5,1.15,1.72,"13,399","6,081",2.2,5.89,"-1,720",71,-93.6,"-1,743",21.1,132,"15,321",8,"1,122",7.32
10月4日,43.85,43.95,43.5,43.55,-0.45,-1.02,1.02,"24,705","13,569",1.82,10.8,"-3,146",-620,"-1,392","-5,158",21.1,-131,"15,189",49,"1,114",7.33
10月3日,44.2,44.3,44,44,-0.5,-1.12,0.67,"16,769","11,026",1.52,7.39,"-9,055",-824,-466,"-10,344",21.1,268,"15,320",43,"1,065",6.95
10月2日,44.65,44.75,44.45,44.5,-0.05,-0.11,0.67,"9,862","4,753",2.07,4.39,"-5,189",473,149,"-4,566",21.2,-20,"15,052",-29,"1,022",6.79
9月28日,44.6,44.95,44.55,44.55,-0.05,-0.11,0.9,"12,239","5,056",2.42,5.47,"-4,424",547,132,"-3,745",21.2,55,"15,072",10,"1,051",6.97
9月27日,44.3,44.7,44.2,44.6,0.15,0.34,1.12,"13,018","7,080",1.84,5.79,"-2,718",723,-734,"-2,729",21.2,-446,"15,017",5,"1,041",6.93
9月26日,44.7,44.85,44.4,44.45,-0.4,-0.89,1,"13,781","9,559",1.44,6.13,"-5,218",176,-669,"-5,712",21.2,57,"15,463",26,"1,036",6.7
