交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月13日,49.25,49.7,48.7,48.95,0.4,0.82,2.06,"52,045","17,288",3.01,25.5,"8,882","-1,825",-417,"6,640",33.3,-560,"49,822",-357,"3,479",6.98
11月10日,48.3,48.6,48.15,48.55,-0.05,-0.1,0.93,"22,077","9,078",2.43,10.7,"-6,918",-537,-487,"-7,942",33.2,452,"50,382",452,"3,836",7.61
11月9日,48.1,48.7,48.1,48.6,0.1,0.21,1.24,"34,582","12,550",2.76,16.7,"4,407","-1,296",-920,"2,191",33.3,"-1,674","49,930",-86,"3,384",6.78
11月8日,49.2,49.65,48.35,48.5,-0.9,-1.82,2.63,"58,576","24,326",2.41,28.6,"-6,000","-2,318",-904,"-9,222",33.2,"1,411","51,604",51,"3,470",6.72
11月7日,49.1,49.4,48.8,49.4,0,0,1.21,"32,652","13,778",2.37,16,"-1,683",-220,-74.5,"-1,978",33.3,-395,"50,193",-21,"3,419",6.81
11月6日,50,50.1,49.2,49.4,0,0,1.82,"60,698","28,598",2.12,30.1,"7,270","3,210",-374,"10,106",33.3,-728,"50,588",20,"3,440",6.8
11月3日,48.8,49.4,48.5,49.4,1.15,2.38,1.87,"81,667","35,210",2.32,40.1,"25,261","10,418",518,"36,197",33.2,"-1,666","51,316",495,"3,420",6.66
11月2日,47.9,48.3,47.6,48.25,1.25,2.66,1.49,"52,322","21,493",2.43,25.1,"7,560","6,066","1,051","14,677",33,-90,"52,982",-742,"2,925",5.52
11月1日,46.5,47.2,46.35,47,0.8,1.73,1.84,"32,897","15,078",2.18,15.4,261,"4,218",616,"5,096",33,-690,"53,072",-41,"3,667",6.91
10月31日,46.4,46.5,46.1,46.2,-0.2,-0.43,0.86,"44,461","15,863",2.8,20.6,"-14,816","8,374",-851,"-7,293",32.9,-298,"53,762",134,"3,708",6.9
10月30日,46.7,46.8,46.15,46.4,-0.2,-0.43,1.39,"34,601","15,633",2.21,16.1,"-8,058","2,426",430,"-5,202",32.9,-205,"54,060",-161,"3,574",6.61
10月27日,46.95,46.95,46.35,46.6,-0.2,-0.43,1.28,"42,770","17,218",2.48,20,"-10,288","2,437",-567,"-8,418",33.1,"-1,355","54,265",-336,"3,735",6.88
10月26日,46.95,47.35,46.7,46.8,-2.25,-4.59,1.33,"100,501","44,577",2.25,47.2,"-45,134","1,451","-2,903","-46,585",33.1,"2,026","55,620","-1,169","4,071",7.32
10月25日,48.45,49.2,48,49.05,0.75,1.55,2.48,"54,853","22,983",2.39,26.8,-308,"6,733","2,269","8,693",33.4,234,"53,594",336,"5,240",9.78
10月24日,48.8,49.2,47.4,48.3,-0.3,-0.62,3.7,"71,520","38,065",1.88,34.4,"-3,327","1,041","-1,687","-3,973",33.5,"-1,506","53,360",-36,"4,904",9.19
10月23日,48.65,49.2,48.5,48.6,-0.1,-0.21,1.44,"46,566","19,319",2.41,22.7,"6,749",916,-902,"6,762",33.5,-243,"54,866",308,"4,940",9
10月20日,49.5,49.95,48.55,48.7,-0.6,-1.22,2.84,"97,148","58,056",1.67,47.8,"-9,099","7,233","1,357",-509,33.4,"1,419","55,109",339,"4,632",8.41
10月19日,48.85,49.3,48.2,49.3,0.85,1.75,2.27,"104,000","44,936",2.31,51,"25,241","9,480","3,844","38,565",33.7,-113,"53,690",571,"4,293",8
10月18日,48.3,49.15,47.85,48.45,0.25,0.52,2.7,"129,645","56,279",2.3,63.2,"19,992","8,009","4,998","32,998",33.5,"2,192","53,803",438,"3,722",6.92
10月17日,47.5,48.4,47.45,48.2,1.05,2.23,2.01,"106,480","42,691",2.49,51.1,"25,967","5,811","2,367","34,146",33.3,-117,"51,611",285,"3,284",6.36
10月16日,46.35,47.5,46.1,47.15,0.15,0.32,2.98,"64,667","26,936",2.4,30.4,"13,843","6,103","1,540","21,487",33.3,-65,"51,728",165,"2,999",5.8
10月13日,46.8,47.2,46.4,47,0,0,1.7,"42,217","14,301",2.95,19.8,"4,216","6,213","1,588","12,018",33.2,185,"51,793",97,"2,834",5.47
10月12日,47,47.05,46.25,47,0.1,0.21,1.71,"42,182","20,255",2.08,19.7,"7,252",422,129,"7,803",33.2,202,"51,608",-272,"2,737",5.3
10月11日,46.05,46.9,45.85,46.9,1.7,3.76,2.32,"84,262","34,458",2.45,39.2,"48,327",-184,467,"48,610",33.1,"-3,670","51,406",349,"3,009",5.85
10月6日,45.5,45.5,45.05,45.2,0.05,0.11,1,"17,806","8,175",2.18,8.06,"2,534",548,"-1,782","1,300",32.8,78,"55,076",33,"2,660",4.83
10月5日,44.45,45.35,44.3,45.15,1.05,2.38,2.38,"45,431","16,294",2.79,20.4,"15,692","1,011","-3,716","12,987",32.7,"-1,373","54,998",-328,"2,627",4.78
10月4日,44.5,44.7,44,44.1,-1.15,-2.54,1.55,"57,164","26,277",2.18,25.3,"-31,836","4,381",298,"-27,157",32.7,"1,142","56,371",517,"2,955",5.24
10月3日,45.7,45.9,45.25,45.25,-0.5,-1.09,1.42,"22,739","10,458",2.17,10.4,687,-332,603,958,32.9,-480,"55,229",85,"2,438",4.41
10月2日,45.95,45.95,45.5,45.75,0.55,1.22,1,"25,428","11,853",2.15,11.6,"2,728","1,813",-54,"4,486",32.9,-354,"55,709",-10,"2,353",4.22
9月28日,44.75,45.3,44.7,45.2,0.8,1.8,1.35,"33,139","10,425",3.18,14.9,"8,989","1,007",499,"10,494",32.9,-712,"56,063",125,"2,363",4.21
9月27日,44.45,44.65,44.15,44.4,-0.35,-0.78,1.12,"39,260","18,636",2.11,17.4,"-9,899",-977,-191,"-11,067",32.8,-410,"56,775",-325,"2,238",3.94
9月26日,45.55,45.6,44.75,44.75,-0.9,-1.97,1.86,"51,262","23,989",2.14,23.1,"-12,665","1,783",-507,"-11,390",32.8,"1,407","57,185",-51,"2,563",4.48
