交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
10月31日,67.3,68.2,67.3,67.9,0.3,0.44,1.33,"12,067","5,357",2.25,8.18,169,-18,-6,145,38.5,-34,513,0,8,1.56
10月30日,67.4,67.9,67.1,67.6,0.3,0.45,1.19,"10,970","5,634",1.95,7.39,"-1,342",517,102,-723,38.5,-17,547,0,8,1.46
10月27日,67.3,67.6,67.1,67.3,0,0,0.74,"8,042","5,225",1.54,5.41,-327,71.8,32.5,-223,38.5,-7,564,1,8,1.42
10月26日,67.3,67.7,66.8,67.3,-0.3,-0.44,1.33,"11,551","5,381",2.15,7.78,"-2,406",-50,-203,"-2,659",38.5,-8,571,1,7,1.23
10月25日,68,68.2,67.6,67.6,-0.4,-0.59,0.88,"4,983","4,964",1,3.37,"-1,226",126,35.1,"-1,065",38.6,20,579,0,6,1.04
10月24日,67.6,68.2,67.5,68,0.3,0.44,1.03,"4,911","3,484",1.41,3.33,"-1,033",194,28.6,-811,38.6,-8,559,0,6,1.07
10月23日,67.5,68,67.4,67.7,0.1,0.15,0.89,"6,069","3,543",1.71,4.11,"-1,913",-210,-6.61,"-2,129",38.6,-11,567,1,6,1.06
10月20日,67.7,68,67.5,67.6,-1,-1.46,0.73,"8,511","6,815",1.25,5.76,"-4,848",565,9.04,"-4,274",38.7,89,578,-3,5,0.87
10月19日,68.2,69.2,68.2,68.6,0,0,1.46,"4,655","3,168",1.47,3.2,"-1,042",378,32.4,-632,38.8,41,489,0,8,1.64
10月18日,69.5,69.6,68.6,68.6,-0.7,-1.01,1.44,"14,094","3,723",3.79,9.69,"-1,556",233,611,-712,38.8,0,448,0,8,1.79
10月17日,69.3,69.7,69,69.3,0.3,0.43,1.01,"5,551","3,570",1.55,3.85,-294,114,-18.6,-199,38.8,-15,448,0,8,1.79
10月16日,69,69.1,68.6,69,0,0,0.72,"4,233","2,752",1.54,2.92,-97,336,26.2,265,38.8,-2,463,0,8,1.73
10月13日,69.1,69.4,68.8,69,-0.5,-0.72,0.86,"6,635","5,308",1.25,4.57,-950,73.4,72.8,-803,38.8,8,465,0,8,1.72
10月12日,70,70,69.1,69.5,-0.5,-0.71,1.29,"10,085","5,828",1.73,7,191,10,46.6,248,38.8,17,457,0,8,1.75
10月11日,70.5,70.5,69.1,70,1.3,1.89,2.04,"14,301","8,585",1.67,9.98,"2,985",54.2,241,"3,280",38.8,-25,440,0,8,1.82
10月6日,68.5,68.8,68.4,68.7,0.1,0.15,0.58,"5,967","5,108",1.17,4.09,249,-402,54,-98.4,38.8,1,465,0,8,1.72
10月5日,67.9,69,67.7,68.6,0.9,1.33,1.92,"9,804","6,448",1.52,6.72,"1,006",153,-116,"1,044",38.8,-13,464,4,8,1.72
10月4日,68.9,69.3,67.5,67.7,-2.1,-3.01,2.58,"14,887","15,720",0.95,10.1,"-8,832",236,-295,"-8,891",38.7,-83,477,-1,4,0.84
10月3日,70,70.3,69.8,69.8,-0.5,-0.71,0.71,"4,747","4,219",1.13,3.32,-855,17,90,-748,38.9,14,560,-1,5,0.89
10月2日,70.1,70.5,70,70.3,0.2,0.29,0.71,"4,227","3,388",1.25,2.97,82.4,568,15.8,666,38.9,-14,546,1,6,1.1
9月28日,70,70.4,69.9,70.1,-0.2,-0.28,0.71,"7,602","3,115",2.44,5.33,-719,275,0.7,-444,38.9,117,560,0,5,0.89
9月27日,70,70.3,69.9,70.3,0.2,0.29,0.57,"4,320","3,114",1.39,3.03,530,213,-214,529,38.9,-12,443,-1,5,1.13
9月26日,69.8,70.3,69.7,70.1,-0.2,-0.28,0.85,"4,321","4,144",1.04,3.03,-691,410,-141,-422,38.9,-4,455,0,6,1.32
