交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月3日,24.85,25.35,24.8,25.35,0.65,2.63,2.23,"62,358","16,719",3.73,15.7,"43,589",577,514,"44,680",37.1,-520,"14,505",156,397,2.74
11月2日,24.6,24.7,24.5,24.7,0.35,1.44,0.82,"27,131","10,262",2.64,6.69,"9,867",298,422,"10,587",36.9,562,"15,025",10,241,1.6
11月1日,24.5,24.6,24.35,24.35,0,0,1.03,"18,988","7,250",2.62,4.64,"3,252","1,455",167,"4,874",36.8,113,"14,463",-13,231,1.6
10月31日,24.35,24.45,24.25,24.35,0,0,0.82,"23,758","8,352",2.84,5.78,639,"1,302",507,"2,448",36.8,171,"14,350",19,244,1.7
10月30日,24.6,24.7,24.25,24.35,-0.25,-1.02,1.83,"27,280","10,168",2.68,6.64,"-10,333","1,770",544,"-8,019",36.8,376,"14,179",-14,225,1.59
10月27日,24.4,24.7,24.4,24.6,0.25,1.03,1.23,"28,039","6,593",4.25,6.9,"9,003",507,414,"9,924",36.9,-442,"13,803",14,239,1.73
10月26日,24.35,24.7,24.3,24.35,-0.3,-1.22,1.62,"41,374","9,954",4.16,10.1,-787,162,116,-509,36.9,369,"14,245",4,225,1.58
10月25日,24.55,24.7,24.45,24.65,0.2,0.82,1.02,"31,144","7,465",4.17,7.66,533,826,346,"1,704",36.8,-689,"13,876",-3,221,1.59
10月24日,24.4,24.5,24.2,24.45,0.1,0.41,1.23,"29,002","7,557",3.84,7.07,"-1,178",585,303,-290,36.9,89,"14,565",-11,224,1.54
10月23日,24.65,24.7,24.3,24.35,-0.3,-1.22,1.62,"26,095","10,747",2.43,6.37,"-9,372",29,456,"-8,888",36.9,245,"14,476",-3,235,1.62
10月20日,24.6,24.8,24.2,24.65,-0.2,-0.8,2.41,"48,610","14,181",3.43,11.9,"-14,248","11,896",172,"-2,179",36.9,"1,361","14,231",-146,238,1.67
10月19日,25,25.15,24.8,24.85,-0.3,-1.19,1.39,"49,521","9,288",5.33,12.4,"-8,898","9,660","2,658","3,420",37,-96,"12,870",-7,384,2.98
10月18日,25.25,25.3,24.9,25.15,0,0,1.59,"50,366","12,111",4.16,12.6,"5,622",-343,"4,718","9,997",37,-129,"12,966",4,391,3.02
10月17日,25.35,25.4,25,25.15,-0.2,-0.79,1.58,"27,598","12,785",2.16,6.94,"-2,639",390,"2,477",228,37,198,"13,095",2,387,2.96
10月16日,25.15,25.35,25.05,25.35,0.2,0.8,1.19,"28,322","11,048",2.56,7.15,"4,513",892,"1,674","7,079",37,-293,"12,897",-4,385,2.99
10月13日,25.1,25.15,24.95,25.15,-0.05,-0.2,0.79,"28,074","9,927",2.83,7.05,"-2,321",477,"1,254",-590,37,-118,"13,190",5,389,2.95
10月12日,25,25.25,24.75,25.2,0.3,1.2,2.01,"50,018","14,641",3.42,12.5,"17,003",38,387,"17,428",37,-503,"13,308",145,384,2.89
10月11日,24.55,24.9,24.5,24.9,0.65,2.68,1.65,"78,793","17,724",4.45,19.5,"26,615",364,"1,565","28,544",36.9,"-3,149","13,811",4,239,1.73
10月6日,24.1,24.3,24,24.25,0.15,0.62,1.24,"25,705","6,449",3.99,6.22,"10,817","1,059",675,"12,551",36.8,-154,"16,960",-19,235,1.39
10月5日,23.7,24.15,23.7,24.1,0.4,1.69,1.9,"36,916","12,552",2.94,8.87,"15,070",236,23.7,"15,329",36.7,43,"17,114",25,254,1.48
10月4日,24,24.1,23.7,23.7,-0.5,-2.07,1.65,"55,825","29,539",1.89,13.3,"-17,330",114,-540,"-17,756",36.6,265,"17,071",49,229,1.34
10月3日,24.4,24.45,24.15,24.2,-0.3,-1.22,1.22,"29,367","11,749",2.5,7.12,"-7,446",105,"1,241","-6,101",36.7,-276,"16,806",-12,180,1.07
10月2日,24.55,24.6,24.5,24.5,0,0,0.41,"12,871","5,765",2.23,3.16,"-2,356",627,150,"-1,579",36.8,-59,"17,082",1,192,1.12
9月28日,24.5,24.6,24.4,24.5,0.1,0.41,0.82,"30,535","7,046",4.33,7.48,"7,970",493,52.4,"8,515",36.8,446,"17,141",-9,191,1.11
9月27日,24.4,24.55,24.3,24.4,-0.15,-0.61,1.02,"28,566","12,067",2.37,6.97,"-1,234",465,"-1,057","-1,827",36.8,101,"16,695",0,200,1.2
9月26日,24.5,24.6,24.35,24.55,-0.05,-0.2,1.02,"27,573","8,774",3.14,6.75,"2,041",416,-717,"1,739",36.8,329,"16,594",3,200,1.21
