交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
10月31日,112,114,112,113.5,1.5,1.34,1.79,"12,503","4,524",2.76,14.2,"-2,916","3,215",340,639,75.8,-152,"4,440",15,242,5.45
10月30日,113,113.5,111,112,-1.5,-1.32,2.2,"15,678","5,897",2.66,17.6,"-7,190",795,-44.1,"-6,439",75.9,-124,"4,592",4,227,4.94
10月27日,111,114.5,111,113.5,1.5,1.34,3.12,"13,488","5,511",2.45,15.3,-727,672,-67.5,-122,76,-114,"4,716",1,223,4.73
10月26日,111,113.5,110,112,-2,-1.75,3.07,"16,477","7,276",2.26,18.5,"-4,878","1,098",-60.1,"-3,840",76,-503,"4,830",-2,222,4.6
10月25日,113,114.5,112,114,0,0,2.19,"15,404","6,801",2.26,17.5,"-4,201","1,023",456,"-2,722",76.1,-27,"5,333",2,224,4.2
10月24日,114.5,114.5,113,114,-1,-0.87,1.3,"10,705","6,192",1.73,12.2,"-4,306",591,101,"-3,614",76.3,113,"5,360",-33,222,4.14
10月23日,117.5,117.5,115,115,-3.5,-2.95,2.11,"9,924","4,802",2.07,11.5,"-2,694",250,-62.8,"-2,507",76.4,527,"5,247",-42,255,4.86
10月20日,115,118.5,115,118.5,2.5,2.16,3.02,"20,816","9,468",2.2,24.4,"7,093","1,169",372,"8,634",76.4,-350,"4,720",40,297,6.29
10月19日,115.5,116,113.5,116,0,0,2.16,"13,187","4,918",2.68,15.2,"-1,138",827,"1,054",743,76.3,63,"5,070",-60,257,5.07
10月18日,116,117.5,114.5,116,0,0,2.59,"20,796","7,275",2.86,24.2,"2,727","1,045",461,"4,233",76.3,26,"5,007",32,317,6.33
10月17日,117,117.5,116,116,0,0,1.29,"12,563","5,481",2.29,14.7,"2,419",193,526,"3,138",76.2,-82,"4,981",0,285,5.72
10月16日,115,116,114,116,-0.5,-0.43,1.72,"9,271","3,933",2.36,10.7,-605,764,392,552,76.2,-52,"5,063",16,285,5.63
10月13日,115.5,117,114.5,116.5,0,0,2.15,"10,496","6,086",1.72,12.2,"1,479",-812,420,"1,087",76.2,-207,"5,115",7,269,5.26
10月12日,116,118,114.5,116.5,1,0.87,3.03,"15,615","6,952",2.25,18.2,"2,272",-308,-176,"1,788",76.2,439,"5,322",0,262,4.92
10月11日,113,116,112.5,115.5,5,4.52,3.17,"23,041","11,674",1.97,26.4,"9,870",-888,424,"9,406",76.1,-493,"4,883",32,262,5.37
10月6日,112,112,110.5,110.5,-1.5,-1.34,1.34,"5,232","3,624",1.44,5.81,201,-588,102,-285,75.8,35,"5,376",-9,230,4.28
10月5日,110,112,109.5,112,2.5,2.28,2.28,"9,622","4,920",1.96,10.7,"2,374",261,-108,"2,527",75.8,-142,"5,341",-4,239,4.47
10月4日,109,110.5,108.5,109.5,-1,-0.9,1.81,"8,611","5,092",1.69,9.43,-59.4,-125,-941,"-1,126",75.8,16,"5,483",-9,243,4.43
10月3日,110.5,111.5,110,110.5,-0.5,-0.45,1.35,"4,598","3,132",1.47,5.09,-460,-120,218,-361,75.8,-38,"5,467",1,252,4.61
10月2日,110.5,111.5,110,111,1.5,1.37,1.37,"5,348","3,603",1.48,5.93,-294,911,-321,295,75.8,-80,"5,505",-1,251,4.56
9月28日,109.5,110,109,109.5,0,0,0.91,"8,857","4,239",2.09,9.69,-677,574,-37.1,-140,75.8,-37,"5,585",36,252,4.51
9月27日,107.5,110,107.5,109.5,0.5,0.46,2.29,"12,113","6,604",1.83,13.2,435,-366,-75.3,-6.49,75.8,-40,"5,622",-1,216,3.84
9月26日,111.5,111.5,108.5,109,-3.5,-3.11,2.67,"16,530","11,660",1.42,18.2,"-8,853",-493,-111,"-9,457",75.9,323,"5,662",13,217,3.83
